word,count
blacklivesmatter,24
autochtoon,24
privilege,24
organiseren,24
kwaad,24
voorkomen,24
da,24
willem,24
marokkanen,24
zelfde,24
idiote,24
absoluut,24
jongen,24
hey,24
brabant,24
mbt,24
probeert,24
coronanl,24
bv,24
geschiedenis,24
strijd,24
debat,24
opmerking,24
knuffelen,24
contact,24
zorgt,24
gezin,24
langer,24
virussen,24
ich,24
snappen,24
nep,24
triest,24
famke,24
janken,24
kids,23
filmpje,23
lange,23
koning,23
info,23
steunen,23
nadenken,23
criminele,23
gevoel,23
turkije,23
verzet,23
vaker,23
daarvoor,23
keuze,23
paniek,23
keihard,23
logisch,23
jongens,23
rust,23
zojuist,23
veroorzaakt,23
miljard,23
mokkel,23
gevraagd,23
bruins,23
laag,22
krimpt,22
verbieden,22
geslagen,22
anderhalve,22
draaien,22
gast,22
getroffen,22
verschillende,22
lives,22
ervoor,22
vrienden,22
gelijke,22
daarbij,22
ervan,22
smerige,22
daardoor,22
korte,22
opa,22
jarige,22
k,22
gesprek,22
nazi,22
accepteren,22
leggen,22
stem,22
belasting,22
normale,22
tut,22
doel,22
habe,22
baan,22
propaganda,22
premier,22
economische,22
tweets,22
oorzaak,22
verloren,22
sigaar,22
vindicat,22
kennis,22
belang,22
boodschappen,22
omt,22
shit,22
eraan,21
reet,21
overtreden,21
plunderen,21
vriendin,21
handhaven,21
veranderen,21
zoon,21
religie,21
coronabesmettingen,21
macron,21
leider,21
daarvan,21
belgische,21
winkel,21
toevallig,21
draagt,21
on,21
schandalig,21
mishandeld,21
licht,21
binnenkort,21
george,21
gooien,21
vreedzame,21
malieveld,21
bedacht,21
toekomst,21
plek,21
doorgaan,21
waard,21
loop,21
duitse,21
broer,21
tering,21
voetbal,21
verdient,21
zeiken,21
kappen,21
schande,21
klote,21
tonen,21
zware,21
ok,21
alweer,21
sta,21
discussie,21
meisje,21
sluit,21
ofwel,21
diep,21
bericht,21
gvd,21
tuurlijk,21
laars,21
ondernemers,21
auto,21
anti,21
vaccinatie,21
s,21
redden,21
moffen,21
wappies,21
supermarkt,21
overlijden,21
schapen,21
delen,21
buurt,21
ontzettend,21
amerikaanse,20
soros,20
toename,20
vb,20
kosten,20
vliegtuig,20
plunderingen,20
maatregel,20
spel,20
excuses,20
hersenen,20
huilen,20
verkopen,20
voel,20
onderwerp,20
durft,20
leiden,20
einde,20
nie,20
meerdere,20
pakt,20
zondag,20
vaccins,20
autochtone,20
publiek,20
bedoeld,20
schamen,20
beau,20
bejaarden,20
failliet,20
geleerd,20
bepaalde,20
gezeik,20
uitspraken,20
groenlinks,20
bners,20
hoezo,20
sterft,20
partijen,20
npo,20
hé,20
pak,20
bedrijven,20
gezonde,20
vieren,20
begrijpt,20
ha,20
interesseert,19
vertrouwen,19
vandaar,19
gewust,19
rol,19
brengt,19
dienst,19
amerikanen,19
chaos,19
voelen,19
nva,19
succes,19
coronahoax,19
asielzoekers,19
floyd,19
begon,19
vluchtelingen,19
verschrikkelijk,19
nieuwsuur,19
basis,19
bijvoorbeeld,19
collegas,19
boerenprotesten,19
mensheid,19
akwasi,19
daarmee,19
organisatie,19
bizar,19
simpel,19
corrupt,19
zaaien,19
club,19
ken,19
personen,19
systeem,19
symptomen,19
juiste,19
mei,19
neer,19
kerk,19
steken,19
allang,19
top,19
noemt,19
kost,19
iq,19
zooitje,19
feest,19
feesten,19
oplossing,19
flink,19
informatie,19
tafel,19
geholpen,19
allah,19
vriend,19
toont,18
westerse,18
kansen,18
kwamen,18
wetenschap,18
ernstig,18
vliegen,18
veiligheid,18
wtf,18
misbruikt,18
medemens,18
coronaproof,18
vorig,18
rustig,18
economisch,18
chinese,18
eenvandaag,18
slim,18
covidー,18
leerlingen,18
vaccineren,18
volksgezondheid,18
nederlands,18
duren,18
debiele,18
ergste,18
lieve,18
oranje,18
leuke,18
zuidafrika,18
markt,18
gekomen,18
totale,18
ziektes,18
wellicht,18
vent,18
vlamingen,18
feestjes,18
vervangen,18
volkomen,18
onnodige,18
waardoor,18
gevonden,18
opnpo,18
zorgmedewerkers,18
massa,18
liegen,18
kijkt,18
noodwet,18
niveau,18
rt,18
gt,18
groepen,18
louise,18
maskers,18
brand,17
verteld,17
typisch,17
latinos,17
